,0_names,0_scores,0_pvals,0_pvals_adj,0_logfoldchanges,1_names,1_scores,1_pvals,1_pvals_adj,1_logfoldchanges,2_names,2_scores,2_pvals,2_pvals_adj,2_logfoldchanges,3_names,3_scores,3_pvals,3_pvals_adj,3_logfoldchanges
51,IYD,1.4381981,0.15037784650030675,0.7232727874335122,0.8369839,SLC4A7,4.302923,1.6855929448802425e-05,0.003525426368766295,1.9868029,TRAF2,3.1828227,0.001458468891886318,0.29425249573145007,3.9099166,FAM114A1,2.952328,0.0031538772428677656,0.5757077506822113,2.693197
52,WDR90,1.4306087,0.15254239522672428,0.7266932664073443,1.7394247,MARCKS,4.2988677,1.716729362181848e-05,0.003525426368766295,1.6239825,AGPAT4,3.1828227,0.001458468891886318,0.29425249573145007,3.6748173,HSP90B1,2.9310882,0.0033777683562057573,0.5976051707133263,1.9082434
53,LRCH2,1.4154298,0.15694251187390232,0.7312961452795286,1.7351165,TMEM67,4.2988677,1.716729362181848e-05,0.003525426368766295,1.6882046,CCDC37,3.1684208,0.001532695056338982,0.2991217239843481,4.4118376,NEAT1,2.9310882,0.0033777683562057573,0.5976051707133263,3.4474835
54,REXO1L2P,1.4002509,0.16143818437170532,0.7361376369050797,0.20894,USP15,4.294812,1.748413377183795e-05,0.003527500673265551,2.0258648,NBPF7,3.1612198,0.00157109874190826,0.2991217239843481,3.5754209,BOD1L,2.9204683,0.003495057047574509,0.599897851449356,1.5093353
55,ENTPD1,1.3888668,0.16487325992408053,0.7394848729166803,0.69631267,TRAK2,4.2907567,1.7806540902352228e-05,0.0035306072478801832,2.5441146,PLXNA2,3.1612198,0.00157109874190826,0.2991217239843481,2.5248494,RBM25,2.9204683,0.003495057047574509,0.599897851449356,1.286839
56,PAK3,1.3850721,0.1660304297279016,0.7394848729166803,1.1665256,BCL11A,4.274534,1.915370922396846e-05,0.0036109451815678245,1.7268361,IPO4,3.146818,0.0016505770973381656,0.2991217239843481,3.8267422,RPS6,2.8886087,0.003869502773618266,0.626750449248029,3.5747118
57,TDRD9,1.3774827,0.1683630787518613,0.7423985451098178,0.32233512,MCTP1,4.274534,1.915370922396846e-05,0.0036109451815678245,1.9081086,FER1L4,3.132416,0.001733740230582706,0.2991217239843481,3.0221443,RPS4X,2.8832986,0.003935340242020131,0.6285612886559931,2.6749833
58,BCDIN3D,1.3660985,0.17190805382444185,0.7446370490254178,1.073722,CCRL1,4.274534,1.915370922396846e-05,0.0036109451815678245,2.5832057,CHD6,3.132416,0.001733740230582706,0.2991217239843481,1.7083797,YWHAB,2.867369,0.004139002236262862,0.6432233205003096,2.117501
59,RPS15AP10,1.3623037,0.17310203937294166,0.7446370490254178,1.3121248,PHACTR2,4.266423,1.9863167235872594e-05,0.0036258162414688068,1.4211382,JRK,3.132416,0.001733740230582706,0.2991217239843481,3.1007485,SNED1,2.8461292,0.004425424269180555,0.6475176575144994,2.5427766
60,LRRC58,1.3585091,0.17430221327407225,0.7446370490254178,0.49659267,NAV3,4.266423,1.9863167235872594e-05,0.0036258162414688068,1.6467125,ZNF454,3.132416,0.001733740230582706,0.2991217239843481,4.20318,TLN1,2.8408191,0.004499781472212229,0.6475176575144994,2.3136914
61,NDUFB3,1.3547143,0.17550859022988596,0.7446370490254178,1.0702428,KLHL4,4.2177567,2.4674457294443484e-05,0.004325543314769067,2.7531357,STK36,3.132416,0.001733740230582706,0.2991217239843481,3.5751472,NDUFB9,2.8248894,0.004729694194018952,0.6475176575144994,3.0235357
62,MBOAT1,1.3471249,0.17794001159700923,0.7446370490254178,0.98570424,PARP8,4.2177567,2.4674457294443484e-05,0.004325543314769067,1.6405408,FAHD2A,3.118014,0.0018207409286003797,0.2991217239843481,3.7578623,GAPDH,2.8036497,0.005052778391519477,0.6747126700043936,2.4057875
63,DOCK5,1.3471249,0.17794001159700923,0.7446370490254178,0.4076662,CSNK1G3,4.2137012,2.5121935206545518e-05,0.004325543314769067,1.6369445,TG,3.118014,0.0018207409286003797,0.2991217239843481,2.263266,NAP1L4,2.8036497,0.005052778391519477,0.6747126700043936,2.2201765
64,SLC39A14,1.3471249,0.17794001159700923,0.7446370490254178,1.0248723,IKZF2,4.2096457,2.5577125687330134e-05,0.004325543314769067,1.4729562,RELB,3.118014,0.0018207409286003797,0.2991217239843481,3.5051508,RPL12,2.7930298,0.005221689359164438,0.6747126700043936,2.7057908
65,LOC440600,1.3395355,0.18039641900737513,0.7446370490254178,1.0567331,RASSF6,4.2096457,2.5577125687330134e-05,0.004325543314769067,2.3791158,MGAM,3.1036122,0.0019117374002368985,0.3053469458711713,2.658458,RPL27A,2.7611701,0.00575946762301812,0.712703847183843,2.1908371
66,FDX1L,1.3395355,0.18039641900737513,0.7446370490254178,1.2430727,TTC3,4.2055902,2.6040154052212476e-05,0.004340025675368746,1.5746015,LOXL2,3.0892103,0.002006893425137161,0.3077236585210314,3.9961338,RNF213,2.75586,0.005853802400130639,0.712703847183843,1.1435088
67,PIF1,1.3357407,0.1816340281174431,0.7449299899023727,1.9437329,FGF12,4.1853127,2.847738450394441e-05,0.004586284709626929,1.5853773,PLBD2,3.0892103,0.002006893425137161,0.3077236585210314,4.037243,ANKRD36B,2.7505503,0.0059495277677955585,0.712703847183843,1.5068778
68,LPIN3,1.331946,0.1828779262882394,0.7449299899023727,1.0197662,NT5DC3,4.1772017,2.951174508803415e-05,0.004586284709626929,1.9340942,USP5,3.0892103,0.002006893425137161,0.3077236585210314,2.8976672,TSC22D3,2.7452402,0.006046661485967015,0.7138388606336448,3.9958634
69,TTC18,1.3281513,0.1841281274755272,0.7449299899023727,0.47555715,ZMYM2,4.1772017,2.951174508803415e-05,0.004586284709626929,1.2653006,CDH23,3.0748084,0.0021063785047696236,0.31813703374825686,2.2060363,RPL32,2.7399304,0.006145221495889638,0.7138388606336448,2.6942763
70,KIF13B,1.3243566,0.18538464552380218,0.7449299899023727,0.39428446,PRRC1,4.1772017,2.951174508803415e-05,0.004586284709626929,2.3710387,ZC3H18,3.0676074,0.002157799011509916,0.31813703374825686,3.6470838,TPT1,2.7293105,0.006346693069230918,0.7298697029615556,2.9316971
71,HSCB,1.3243566,0.18538464552380218,0.7449299899023727,1.2292216,KIAA1109,4.1609793,3.168855997748792e-05,0.0048589125298814815,0.86106867,NFATC4,3.0676074,0.002157799011509916,0.31813703374825686,3.8517823,CFL1,2.7186906,0.006554089686648632,0.7462577365986066,3.128541
72,MEGF8,1.3243566,0.18538464552380218,0.7449299899023727,0.5732135,CACNA2D1,4.148813,3.342038929926371e-05,0.00495189693849525,1.1368262,C6orf89,3.0604064,0.0022103680154996396,0.3204537595692882,2.0390458,TNFAIP3,2.7080708,0.006767561519878996,0.7556015289185287,1.643026
73,C19orf12,1.3167671,0.18791668701798114,0.7449299899023727,0.65415204,NFIB,4.1447573,3.4017378968793456e-05,0.00495189693849525,1.9912161,CPT1C,3.0532055,0.0022641083821757896,0.3204537595692882,3.8026524,CD24,2.7080708,0.006767561519878996,0.7556015289185287,3.053618
74,EFR3B,1.3167671,0.18791668701798114,0.7449299899023727,0.8354083,KCTD9,4.1447573,3.4017378968793456e-05,0.00495189693849525,2.6289198,CIZ1,3.0460045,0.0023190433636429255,0.3204537595692882,3.70417,RPL34,2.6974509,0.006987261749271672,0.757776254764362,2.8973145
75,C1orf83,1.3091778,0.1904741592572209,0.7450519834891294,1.0816587,ATG5,4.1447573,3.4017378968793456e-05,0.00495189693849525,2.1596591,PRPF19,3.0460045,0.0023190433636429255,0.3204537595692882,3.763568,TMSL3,2.6868308,0.007213346599165296,0.757776254764362,3.687141
76,SLC25A20,1.305383,0.19176246530214458,0.7465223409695643,1.2906716,FGD4,4.1366463,3.524187887095519e-05,0.005066020087699808,2.019614,TRPV3,3.0388036,0.0023751966036216006,0.3204537595692882,3.6183693,RNF145,2.681521,0.007328832917871262,0.757776254764362,1.9749533
77,PRKDC,1.3015883,0.19305716887334645,0.7465223409695643,-0.5556741,MED13,4.132591,3.5869714270637975e-05,0.005092613754473293,0.793119,NEURL4,3.0388036,0.0023751966036216006,0.3204537595692882,3.3133898,UBA52,2.681521,0.007328832917871262,0.757776254764362,2.093657
78,MMACHC,1.2939988,0.19566582060647264,0.7513044864689268,0.8043379,ATP8B5P,4.1285353,3.650816076637203e-05,0.0051200469367472965,1.8638927,CRAMP1L,3.0316026,0.0024325921424246198,0.3204537595692882,3.3757641,EIF4A1,2.681521,0.007328832917871262,0.757776254764362,1.9323015
79,ATAD3B,1.2902042,0.19697979447182046,0.7516323330856313,1.0112836,CADM2,4.12448,3.71573870189997e-05,0.005148312659258995,1.5102655,OPRK1,3.0244017,0.002491254421960538,0.3204537595692882,3.257644,USP48,2.6762109,0.007445975372901992,0.757776254764362,1.6600174
80,MYLK4,1.2864094,0.19830021726798308,0.7516323330856313,0.9699748,DCUN1D5,4.112313,3.9171468480239677e-05,0.005362760565747099,1.3384366,NOTCH1,3.0244017,0.002491254421960538,0.3204537595692882,3.2354686,EEF1A1,2.6443512,0.008184765179739345,0.8044854663846365,1.8085377
81,BMP7,1.2788199,0.2009604597035849,0.7527834809743408,1.2996185,ERCC8,4.104202,4.057129396255143e-05,0.005489057418462841,2.6402066,FBLN7,3.0172007,0.0025512082907636,0.3204537595692882,3.912599,DEK,2.6443512,0.008184765179739345,0.8044854663846365,2.3093565
82,FAM136A,1.2788199,0.2009604597035849,0.7527834809743408,1.6131301,RAP1A,4.096091,4.201850294888143e-05,0.005618753301303913,1.6531476,SEC14L4,3.0027988,0.002675092253795797,0.3204537595692882,3.1952055,BTG1,2.6390414,0.00831408287169398,0.8102707883430573,1.9554735
83,TRIP13,1.2636411,0.20635887523050211,0.755291873058808,1.2819376,UBR3,4.079869,4.5061137675922604e-05,0.005956357279001264,1.1654199,ZNF592,3.0027988,0.002675092253795797,0.3204537595692882,2.2779086,RPLP2,2.6337314,0.008445225465049876,0.816135234017425,2.870656
84,C1orf212,1.2636411,0.20635887523050211,0.755291873058808,0.9715438,GOLT1B,4.0677023,4.7479017982956606e-05,0.006173194306811625,1.7306135,PPP2R1A,3.0027988,0.002675092253795797,0.3204537595692882,3.5601604,MED23,2.6124916,0.008988487990055683,0.8395589051887088,1.2582533
85,PPIL6,1.2560517,0.20909723985370154,0.7597530042077624,0.950333,CCDC91,4.063647,4.831195544461272e-05,0.006173194306811625,2.3558884,LOC728377,3.0027988,0.002675092253795797,0.3204537595692882,3.3438053,RPS29,2.6071818,0.009129089247622587,0.8395589051887088,3.3612382
86,CHST3,1.2560517,0.20909723985370154,0.7597530042077624,1.0741123,CALCR,4.063647,4.831195544461272e-05,0.006173194306811625,2.5417218,DYNC1H1,3.0027988,0.002675092253795797,0.3204537595692882,1.9106089,LUC7L3,2.6018717,0.009271650518170957,0.8395589051887088,1.9784735
87,C3orf37,1.2560517,0.20909723985370154,0.7597530042077624,1.2976466,ANGPT1,4.0555353,5.0019568435813024e-05,0.006252446054476628,2.0642934,TAF15,3.0027988,0.002675092253795797,0.3204537595692882,3.7466857,EIF3A,2.6018717,0.009271650518170957,0.8395589051887088,1.3420342
88,COL11A2,1.252257,0.21047625224710875,0.7618546223510176,1.0270189,AZI2,4.0555353,5.0019568435813024e-05,0.006252446054476628,2.3735826,SCN5A,3.0027988,0.002675092253795797,0.3204537595692882,3.2810502,COL18A1,2.6018717,0.009271650518170957,0.8395589051887088,2.5037217
89,RPSA,1.2484622,0.21186183324161345,0.7618546223510176,0.95539486,CSMD3,4.0474243,5.178428667580824e-05,0.006335311667785051,0.8286859,ZER1,3.0027988,0.002675092253795797,0.3204537595692882,3.2010481,PABPC1,2.5912519,0.00956274629887955,0.8524928871094172,1.6383885
