,GC1-TT1,GC1-TT2,GC1-TT3,GC1-TT4,GC1-TT5,GC1-TT6,GC1-TT7,GC1-TT8,GC1-TT9,GC1-TT10,GC1-TT11,GC1-TT12,GC1-TT13,GC1-TT14,GC1-TT15,GC1-TT16,GC1-TT17,GC1-TT18,GC1-TT19,GC1-LN1,GC1-LN2,GC1-LN3,GC1-LN4,GC2-TT1,GC2-TT2,GC2-TT3,GC2-TT4,GC2-TT5,GC2-TT6,GC2-TT7,GC2-TT8,GC2-TT9,GC2-TT10,GC2-TT11,GC2-TT12,GC2-TT13,GC2-TT14,GC2-TT15,GC2-TT16,GC2-TT17,GC2-TT18,GC2-TT19,GC2-TT20,GC2-TT21,GC2-TT22,GC2-TT23,GC2-TT24,GC2-TT25,GC2-TT26,GC2-TT27,GC2-LN1,GC2-LN2,GC2-LN3,GC2-LN4,GC2-LN5,GC2-LN6,GC2-LN7,GC2-LN8,GC2-LN9,GC2-LN10,GC2-LN11,GC2-LN12,GC2-LN13,GC3-TT1,GC3-TT2,GC3-TT3,GC3-TT4,GC3-TT5,GC3-TT6,GC3-TT7,GC3-TT8,GC3-TT9,GC3-TT10,GC3-TT11,GC3-TT12,GC3-TT13,GC3-TT14,GC3-TT15,GC3-TT16,GC3-TT17,GC3-TT18,GC3-TT19,GC3-LN1,GC3-LN2,GC3-LN3,GC3-LN4,GC3-LN5,GC3-LN6,GC3-LN7,GC3-LN8,GC3-LN9,GC3-LN10,GC3-LN11,GC3-LN12
ERBB2IP,1,0,0,0,1,0,10,0,14,6,0,12,1,2,3,0,1,0,6,2,7,0,0,2,1,2,4,3,4,1,1,1,3,3,2,4,1,2,0,5,0,0,0,8,4,0,3,3,5,0,0,5,0,0,8,3,2,5,9,1,0,2,6,1,0,0,0,4,3,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,6,0,3,1,0,0,2,0,0,1
LOC100303749,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,3,0,0,0,0,0,2,3,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SREK1,2,0,2,1,5,0,22,4,5,7,0,4,7,0,6,5,4,3,3,5,1,13,0,1,13,12,5,13,5,22,3,10,1,3,2,4,2,4,10,4,3,6,1,8,4,11,0,4,6,12,7,1,0,19,6,0,13,5,0,3,0,4,0,18,3,16,4,1,10,23,9,1,2,2,1,3,1,1,1,0,2,16,14,5,3,3,1,0,1,0,3,3,2,0
MAST4,0,13,0,0,1,3,3,0,0,0,3,0,3,1,20,8,6,3,1,0,0,1,2,2,11,11,1,3,2,2,3,1,0,2,3,5,2,3,5,0,0,3,6,0,1,6,4,1,3,0,0,0,0,0,1,0,4,0,14,4,0,0,0,1,2,0,4,0,0,5,0,1,3,3,5,3,0,1,0,0,0,0,0,5,0,1,3,0,1,1,2,0,0,2
CD180,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,1,0,0,5,0,1,0,9,0,0,2,0,0,2,0,0,0,3,0,1,0,0,0,0,1,0,1,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,1,2,0,0
PIK3R1,2,0,1,0,5,0,9,2,31,2,1,5,0,1,0,1,0,0,2,4,0,0,0,0,4,3,5,5,0,1,2,2,1,0,0,3,2,1,2,4,0,0,7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,15,1,5,0,6,0,0,0,8,1,9,1,0,2,0,0,0,0,0,1,1,0,6,4,18,0,4,5,0,0,0,0,1,0,0,0
SLC30A5,8,5,0,2,0,0,0,0,0,1,3,5,0,0,0,3,0,0,3,0,0,0,0,2,0,4,0,3,0,0,2,1,1,1,3,3,1,1,0,2,1,1,1,1,3,0,0,1,0,0,0,19,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,2,0,1,0,0,0,2,2,1,0,0,0,4,12,0,0,0,0,0,0,0,0,1,2,0,2,0
CCNB1,0,1,1,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,1,0,0,0,1,0,2,0,0,0,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
CENPH,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
MRPS36,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,3,0,0,0,0,1,0,11,1,1,2,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,1,0,0,0,2,0,2,0,0,1,0,2,0,0,0,4,0,0,2,2,0,0,0,0,0
CDK7,1,0,0,9,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,0,0,0,0,1,0,3,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CCDC125,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,5,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0,1,0,2,1,2,0,0,0,1,1,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
TAF9,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
RAD17,1,3,3,4,0,1,0,3,0,0,0,2,0,0,2,3,0,2,1,0,0,3,0,0,1,1,0,5,1,1,1,2,1,3,1,0,1,0,5,2,2,2,2,0,2,0,2,0,1,0,5,11,0,1,0,0,7,2,4,0,4,4,0,8,3,2,0,4,2,3,0,1,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,5,0,0,3,1,2,0
