,GC1-TT1,GC1-TT2,GC1-TT3,GC1-TT4,GC1-TT5,GC1-TT6,GC1-TT7,GC1-TT8,GC1-TT9,GC1-TT10,GC1-TT11,GC1-TT12,GC1-TT13,GC1-TT14,GC1-TT15,GC1-TT16,GC1-TT17,GC1-TT18,GC1-TT19,GC1-LN1,GC1-LN2,GC1-LN3,GC1-LN4,GC2-TT1,GC2-TT2,GC2-TT3,GC2-TT4,GC2-TT5,GC2-TT6,GC2-TT7,GC2-TT8,GC2-TT9,GC2-TT10,GC2-TT11,GC2-TT12,GC2-TT13,GC2-TT14,GC2-TT15,GC2-TT16,GC2-TT17,GC2-TT18,GC2-TT19,GC2-TT20,GC2-TT21,GC2-TT22,GC2-TT23,GC2-TT24,GC2-TT25,GC2-TT26,GC2-TT27,GC2-LN1,GC2-LN2,GC2-LN3,GC2-LN4,GC2-LN5,GC2-LN6,GC2-LN7,GC2-LN8,GC2-LN9,GC2-LN10,GC2-LN11,GC2-LN12,GC2-LN13,GC3-TT1,GC3-TT2,GC3-TT3,GC3-TT4,GC3-TT5,GC3-TT6,GC3-TT7,GC3-TT8,GC3-TT9,GC3-TT10,GC3-TT11,GC3-TT12,GC3-TT13,GC3-TT14,GC3-TT15,GC3-TT16,GC3-TT17,GC3-TT18,GC3-TT19,GC3-LN1,GC3-LN2,GC3-LN3,GC3-LN4,GC3-LN5,GC3-LN6,GC3-LN7,GC3-LN8,GC3-LN9,GC3-LN10,GC3-LN11,GC3-LN12
PMCHL2,0,0,0,2,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,2,1,1,0,0,1,5,0,4,1,1,0,5,0,0,0,0,2,0,0,0,1,0,0,0,2,2,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,2,0
BDP1,15,0,7,1,5,2,15,4,7,8,0,2,1,0,16,2,4,3,2,0,8,0,0,0,1,5,3,5,3,7,6,4,3,3,11,1,1,3,7,7,3,2,7,25,7,10,8,8,4,0,7,1,0,9,12,2,7,6,1,11,1,10,10,5,10,3,3,7,11,17,0,3,2,2,4,2,0,0,2,2,9,11,1,10,4,2,1,1,4,0,2,6,6,17
MCCC2,0,0,2,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,4,0,3,0,0,1,1,0,1,0,0,2,3,0,4,0,0,6,0,1,2,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,4,2,1,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0
CARTPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAP1B,0,2,14,3,3,0,8,13,0,14,0,0,1,0,0,5,13,0,5,2,0,0,0,1,1,0,3,2,1,0,1,0,7,1,1,2,3,1,9,2,0,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,6,0,0,0,1,0,7,1,0,4,4,0,0,0,3,2,5,7,0,2,0,5,0,0,0,1,0,11,0,2,1,0
MRPS27,0,0,2,0,0,2,15,1,1,7,0,6,0,6,0,0,2,0,0,0,1,1,2,0,0,0,0,3,0,0,0,0,0,0,2,1,3,0,0,1,0,3,0,3,1,22,2,5,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,0,10,0,0,0,4,14,0,0,0,1,0,9,0,1,0,3,3,0,2,0,0,0,5,1,0,0,4,0,0
PTCD2,0,0,0,10,0,2,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF366,0,0,0,0,29,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TNPO1,2,7,2,3,8,0,6,1,7,0,0,1,2,4,2,1,0,1,2,2,0,1,1,1,1,4,3,1,0,9,2,2,3,8,2,3,3,1,0,1,7,2,2,2,0,0,6,1,2,1,0,0,0,2,0,0,14,2,0,1,1,4,0,1,6,0,4,6,7,2,0,3,0,0,1,0,2,1,4,0,3,1,8,2,0,2,3,0,4,4,6,2,2,0
FCHO2,1,1,0,0,3,0,0,0,0,2,1,1,0,2,0,2,0,2,1,1,1,2,0,1,0,0,1,1,1,0,0,0,1,0,0,2,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,4,0,0,2,3,0,0,0,1,1,0,0,0
TMEM171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM174,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BTF3,3,0,1,0,0,0,8,0,15,0,0,0,2,0,1,0,1,0,6,0,0,1,0,4,3,1,0,0,0,2,0,7,0,1,1,1,0,0,0,3,2,0,0,1,0,1,1,0,1,0,2,0,0,0,0,5,0,2,0,0,0,0,0,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,7,4,1,13,0,1,0,0,0,1,0,0,1,0,0
ANKRA2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,2,3,1,0,3,1,0,2,0,2,0,0,1,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0
UTP15,1,0,0,0,5,1,0,0,0,3,2,0,2,1,3,1,1,0,0,0,0,0,0,0,2,1,2,6,2,0,2,0,0,1,0,4,1,0,1,1,2,0,1,1,3,0,0,0,0,0,6,0,0,0,1,1,1,0,3,1,0,0,0,0,1,0,0,14,12,4,0,1,3,1,1,0,0,0,2,0,0,4,1,5,0,1,1,0,2,4,1,0,0,0
